sale_id,sale_date,product_id,quantity,category,revenue,cost,profit
40,2025-01-01,62,1,Home & Kitchen,32.61,16.07,16.54
41,2025-01-01,5,1,Apparel,16.08,9.53,6.55
42,2025-01-02,84,1,Electronics,237.56,139.11,98.45
43,2025-01-02,121,1,Home & Kitchen,142.49,70.1,72.39
44,2025-01-02,15,2,Sports,253.64,142.84,110.8
45,2025-01-02,19,1,Apparel,72.65,45.18,27.47
46,2025-01-02,33,2,Home & Kitchen,175.22,98.2,77.02
47,2025-01-02,60,1,Home & Kitchen,85.48,50.09,35.39
48,2025-01-02,142,1,Electronics,247.92,113.75,134.17
49,2025-01-02,89,1,Home & Kitchen,135.52,85.06,50.46
50,2025-01-02,92,1,Electronics,619.14,386.13,233.01
51,2025-01-02,51,2,Apparel,34.94,18.44,16.5
52,2025-01-02,106,1,Sports,69.03,37.72,31.31
53,2025-01-02,108,1,Apparel,55.99,27.29,28.7
54,2025-01-02,97,1,Apparel,49.94,26.77,23.17
55,2025-01-02,92,2,Electronics,1238.28,772.26,466.02
56,2025-01-02,92,1,Electronics,619.14,386.13,233.01
57,2025-01-02,121,1,Home & Kitchen,142.49,70.1,72.39
58,2025-01-02,77,2,Beauty,10.34,4.36,5.98
59,2025-01-02,88,1,Apparel,54.57,26.74,27.83
60,2025-01-02,58,1,Beauty,23.81,13.53,10.28
61,2025-01-02,43,1,Beauty,5.12,2.91,2.21
62,2025-01-02,109,1,Sports,86.15,38.6,47.55
63,2025-01-02,74,2,Apparel,48.64,27.26,21.38
64,2025-01-02,73,1,Apparel,56.81,28.87,27.94
65,2025-01-02,61,1,Beauty,7.96,3.86,4.1
66,2025-01-02,128,1,Electronics,758.09,475.99,282.1
67,2025-01-02,128,1,Electronics,758.09,475.99,282.1
68,2025-01-02,53,2,Home & Kitchen,90.98,52.44,38.54
69,2025-01-02,20,1,Beauty,29.99,14.29,15.7
70,2025-01-02,139,1,Home & Kitchen,13.27,7.12,6.15
71,2025-01-02,98,1,Beauty,54.56,31.42,23.14
72,2025-01-02,53,1,Home & Kitchen,45.49,26.22,19.27
73,2025-01-02,150,1,Sports,126.43,81.37,45.06
74,2025-01-02,7,1,Electronics,261.53,142.68,118.85
75,2025-01-02,60,1,Home & Kitchen,85.48,50.09,35.39
76,2025-01-02,117,1,Apparel,52.11,26.04,26.07
77,2025-01-03,52,1,Electronics,603.93,345.43,258.5
78,2025-01-03,87,3,Beauty,154.2,86.28,67.92
79,2025-01-03,144,1,Home & Kitchen,58.19,37.47,20.72
80,2025-01-03,41,1,Apparel,77.17,44.22,32.95
81,2025-01-03,83,1,Apparel,30.12,18.01,12.11
82,2025-01-03,32,1,Sports,110.52,58.66,51.86
83,2025-01-03,135,3,Home & Kitchen,186.21,88.14,98.07
84,2025-01-03,27,1,Home & Kitchen,35.09,21.49,13.6
85,2025-01-03,48,1,Beauty,17.58,8.48,9.1
86,2025-01-03,122,2,Home & Kitchen,278.14,168.48,109.66
87,2025-01-03,53,1,Home & Kitchen,45.49,26.22,19.27
88,2025-01-03,52,1,Electronics,603.93,345.43,258.5
89,2025-01-03,84,3,Electronics,712.68,417.33,295.35
90,2025-01-03,103,2,Electronics,1138.52,468.32,670.2
91,2025-01-03,94,1,Beauty,42.41,25.94,16.47
92,2025-01-03,74,2,Apparel,48.64,27.26,21.38
93,2025-01-03,52,1,Electronics,603.93,345.43,258.5
94,2025-01-03,141,1,Home & Kitchen,127.82,56.22,71.6
95,2025-01-03,56,1,Beauty,20.65,10.69,9.96
96,2025-01-03,101,1,Apparel,89.99,47.95,42.04
97,2025-01-03,132,2,Sports,158.86,76.0,82.86
98,2025-01-03,13,1,Electronics,351.12,211.06,140.06
99,2025-01-03,13,1,Electronics,351.12,211.06,140.06
100,2025-01-03,137,1,Home & Kitchen,51.95,30.79,21.16
101,2025-01-03,85,1,Electronics,707.06,458.4,248.66
102,2025-01-03,24,1,Home & Kitchen,142.76,81.61,61.15
103,2025-01-03,53,1,Home & Kitchen,45.49,26.22,19.27
104,2025-01-03,140,1,Apparel,61.96,39.39,22.57
105,2025-01-03,25,1,Electronics,344.03,144.56,199.47
106,2025-01-03,105,3,Apparel,96.12,45.78,50.34
107,2025-01-03,52,2,Electronics,1207.86,690.86,517.0
108,2025-01-03,80,1,Home & Kitchen,85.68,40.56,45.12
109,2025-01-03,125,1,Sports,41.86,23.08,18.78
110,2025-01-03,8,1,Apparel,39.51,19.84,19.67
111,2025-01-03,18,1,Home & Kitchen,135.0,79.9,55.1
112,2025-01-03,8,1,Apparel,39.51,19.84,19.67
113,2025-01-03,50,1,Beauty,32.59,13.33,19.26
114,2025-01-03,67,1,Home & Kitchen,145.61,72.65,72.96
115,2025-01-03,23,3,Home & Kitchen,367.95,220.53,147.42
116,2025-01-03,83,1,Apparel,30.12,18.01,12.11
117,2025-01-03,9,1,Apparel,79.81,50.41,29.4
118,2025-01-03,38,2,Electronics,887.16,358.86,528.3
119,2025-01-03,56,1,Beauty,20.65,10.69,9.96
120,2025-01-03,136,1,Sports,16.59,10.29,6.3
121,2025-01-03,62,1,Home & Kitchen,32.61,16.07,16.54
122,2025-01-03,142,3,Electronics,743.76,341.25,402.51
123,2025-01-03,145,1,Apparel,23.38,13.88,9.5
124,2025-01-03,120,2,Apparel,127.72,51.2,76.52
125,2025-01-04,43,1,Beauty,5.12,2.91,2.21
126,2025-01-04,146,1,Beauty,53.79,34.59,19.2
127,2025-01-04,71,1,Sports,29.65,13.78,15.87
128,2025-01-04,114,2,Home & Kitchen,164.04,79.28,84.76
129,2025-01-04,129,1,Electronics,290.32,149.04,141.28
130,2025-01-04,103,1,Electronics,569.26,234.16,335.1
131,2025-01-04,74,1,Apparel,24.32,13.63,10.69
132,2025-01-04,91,3,Home & Kitchen,414.39,168.45,245.94
133,2025-01-04,126,2,Home & Kitchen,216.9,111.42,105.48
134,2025-01-04,114,1,Home & Kitchen,82.02,39.64,42.38
135,2025-01-04,148,3,Electronics,1855.56,952.65,902.91
136,2025-01-04,16,1,Apparel,85.29,45.28,40.01
137,2025-01-04,88,1,Apparel,54.57,26.74,27.83
138,2025-01-04,62,1,Home & Kitchen,32.61,16.07,16.54
139,2025-01-04,38,1,Electronics,443.58,179.43,264.15
140,2025-01-04,40,1,Sports,176.83,88.95,87.88
141,2025-01-04,42,1,Apparel,58.34,29.79,28.55
142,2025-01-04,67,3,Home & Kitchen,436.83,217.95,218.88
143,2025-01-04,98,2,Beauty,109.12,62.84,46.28
144,2025-01-04,79,1,Electronics,596.91,275.22,321.69
145,2025-01-04,69,1,Home & Kitchen,116.0,47.74,68.26
146,2025-01-04,35,2,Electronics,425.22,242.82,182.4
147,2025-01-04,56,3,Beauty,61.95,32.07,29.88
148,2025-01-04,58,1,Beauty,23.81,13.53,10.28
149,2025-01-04,114,1,Home & Kitchen,82.02,39.64,42.38
150,2025-01-04,78,2,Sports,132.6,64.54,68.06
151,2025-01-04,14,2,Beauty,93.32,46.62,46.7
152,2025-01-04,18,2,Home & Kitchen,270.0,159.8,110.2
153,2025-01-04,105,1,Apparel,32.04,15.26,16.78
154,2025-01-04,61,1,Beauty,7.96,3.86,4.1
155,2025-01-04,70,1,Home & Kitchen,94.87,40.66,54.21
156,2025-01-04,9,2,Apparel,159.62,100.82,58.8
157,2025-01-04,132,1,Sports,79.43,38.0,41.43
158,2025-01-04,55,1,Apparel,25.9,10.77,15.13
159,2025-01-04,64,1,Sports,16.75,8.47,8.28
160,2025-01-04,12,1,Sports,83.23,45.92,37.31
161,2025-01-04,23,1,Home & Kitchen,122.65,73.51,49.14
162,2025-01-05,75,3,Electronics,2061.96,1295.91,766.05
163,2025-01-05,15,1,Sports,126.82,71.42,55.4
164,2025-01-05,46,2,Beauty,88.74,39.1,49.64
165,2025-01-05,118,1,Apparel,47.57,19.4,28.17
166,2025-01-05,18,3,Home & Kitchen,405.0,239.7,165.3
167,2025-01-05,110,1,Electronics,418.76,253.01,165.75
168,2025-01-05,98,2,Beauty,109.12,62.84,46.28
169,2025-01-05,130,1,Home & Kitchen,132.68,70.56,62.12
170,2025-01-05,127,1,Sports,134.79,59.59,75.2
171,2025-01-05,106,1,Sports,69.03,37.72,31.31
172,2025-01-05,32,1,Sports,110.52,58.66,51.86
173,2025-01-05,81,2,Home & Kitchen,45.08,21.82,23.26
174,2025-01-05,145,2,Apparel,46.76,27.76,19.0
175,2025-01-05,91,1,Home & Kitchen,138.13,56.15,81.98
176,2025-01-05,127,2,Sports,269.58,119.18,150.4
177,2025-01-05,15,1,Sports,126.82,71.42,55.4
178,2025-01-05,26,1,Home & Kitchen,24.68,15.77,8.91
179,2025-01-05,149,1,Apparel,46.8,24.94,21.86
180,2025-01-05,112,1,Home & Kitchen,93.41,42.45,50.96
181,2025-01-05,85,3,Electronics,2121.18,1375.2,745.98
182,2025-01-05,15,1,Sports,126.82,71.42,55.4
183,2025-01-05,143,1,Apparel,89.3,54.57,34.73
184,2025-01-05,59,1,Electronics,333.15,146.06,187.09
185,2025-01-05,122,2,Home & Kitchen,278.14,168.48,109.66
186,2025-01-05,139,2,Home & Kitchen,26.54,14.24,12.3
187,2025-01-05,8,1,Apparel,39.51,19.84,19.67
188,2025-01-05,66,1,Sports,37.59,23.93,13.66
189,2025-01-05,78,1,Sports,66.3,32.27,34.03
190,2025-01-05,61,1,Beauty,7.96,3.86,4.1
191,2025-01-05,77,1,Beauty,5.17,2.18,2.99
192,2025-01-05,98,1,Beauty,54.56,31.42,23.14
193,2025-01-05,92,1,Electronics,619.14,386.13,233.01
194,2025-01-05,122,1,Home & Kitchen,139.07,84.24,54.83
195,2025-01-05,10,2,Apparel,165.76,97.82,67.94
196,2025-01-05,129,2,Electronics,580.64,298.08,282.56
197,2025-01-05,121,1,Home & Kitchen,142.49,70.1,72.39
198,2025-01-05,123,1,Electronics,111.95,56.68,55.27
199,2025-01-05,1,2,Home & Kitchen,243.8,138.96,104.84
200,2025-01-05,17,1,Home & Kitchen,94.05,58.74,35.31
201,2025-01-05,8,1,Apparel,39.51,19.84,19.67
202,2025-01-05,140,1,Apparel,61.96,39.39,22.57
203,2025-01-05,8,1,Apparel,39.51,19.84,19.67
204,2025-01-05,4,1,Sports,166.63,73.93,92.7
205,2025-01-05,135,1,Home & Kitchen,62.07,29.38,32.69
206,2025-01-05,134,1,Sports,83.81,49.15,34.66
207,2025-01-05,144,1,Home & Kitchen,58.19,37.47,20.72
208,2025-01-05,122,1,Home & Kitchen,139.07,84.24,54.83
209,2025-01-05,108,1,Apparel,55.99,27.29,28.7
210,2025-01-05,120,1,Apparel,63.86,25.6,38.26
211,2025-01-05,19,3,Apparel,217.95,135.54,82.41
212,2025-01-05,76,2,Home & Kitchen,297.02,127.8,169.22
213,2025-01-05,83,1,Apparel,30.12,18.01,12.11
214,2025-01-05,21,2,Beauty,54.14,24.78,29.36
215,2025-01-05,109,1,Sports,86.15,38.6,47.55
216,2025-01-05,120,1,Apparel,63.86,25.6,38.26
217,2025-01-05,121,2,Home & Kitchen,284.98,140.2,144.78
218,2025-01-05,57,1,Home & Kitchen,43.33,23.9,19.43
219,2025-01-05,56,2,Beauty,41.3,21.38,19.92
220,2025-01-05,37,1,Electronics,567.89,337.79,230.1
221,2025-01-06,149,1,Apparel,46.8,24.94,21.86
222,2025-01-06,87,1,Beauty,51.4,28.76,22.64
223,2025-01-06,115,3,Electronics,1838.13,1025.43,812.7
224,2025-01-06,74,1,Apparel,24.32,13.63,10.69
225,2025-01-06,106,1,Sports,69.03,37.72,31.31
226,2025-01-06,17,1,Home & Kitchen,94.05,58.74,35.31
227,2025-01-06,97,1,Apparel,49.94,26.77,23.17
228,2025-01-06,150,1,Sports,126.43,81.37,45.06
229,2025-01-06,45,1,Apparel,37.79,17.8,19.99
230,2025-01-06,98,1,Beauty,54.56,31.42,23.14
231,2025-01-06,78,1,Sports,66.3,32.27,34.03
232,2025-01-06,86,1,Apparel,59.33,32.3,27.03
233,2025-01-06,123,1,Electronics,111.95,56.68,55.27
234,2025-01-06,149,2,Apparel,93.6,49.88,43.72
235,2025-01-06,56,2,Beauty,41.3,21.38,19.92
236,2025-01-06,32,3,Sports,331.56,175.98,155.58
237,2025-01-06,113,1,Sports,151.34,83.36,67.98
238,2025-01-06,150,1,Sports,126.43,81.37,45.06
239,2025-01-06,102,1,Beauty,37.1,17.91,19.19
240,2025-01-06,92,1,Electronics,619.14,386.13,233.01
241,2025-01-06,71,1,Sports,29.65,13.78,15.87
242,2025-01-06,11,1,Home & Kitchen,47.38,19.96,27.42
243,2025-01-06,93,1,Apparel,42.54,19.27,23.27
244,2025-01-06,28,1,Beauty,17.99,10.34,7.65
245,2025-01-06,43,2,Beauty,10.24,5.82,4.42
246,2025-01-06,6,2,Sports,208.46,128.4,80.06
247,2025-01-06,35,1,Electronics,212.61,121.41,91.2
248,2025-01-06,29,2,Sports,325.58,203.26,122.32
249,2025-01-06,40,2,Sports,353.66,177.9,175.76
250,2025-01-06,66,1,Sports,37.59,23.93,13.66
251,2025-01-06,131,3,Sports,541.68,271.77,269.91
252,2025-01-06,127,1,Sports,134.79,59.59,75.2
253,2025-01-06,9,2,Apparel,159.62,100.82,58.8
254,2025-01-06,88,1,Apparel,54.57,26.74,27.83
255,2025-01-07,45,1,Apparel,37.79,17.8,19.99
256,2025-01-07,55,1,Apparel,25.9,10.77,15.13
257,2025-01-07,7,1,Electronics,261.53,142.68,118.85
258,2025-01-07,19,1,Apparel,72.65,45.18,27.47
259,2025-01-07,145,2,Apparel,46.76,27.76,19.0
260,2025-01-07,96,1,Apparel,26.23,13.32,12.91
261,2025-01-07,136,1,Sports,16.59,10.29,6.3
262,2025-01-07,96,1,Apparel,26.23,13.32,12.91
263,2025-01-07,48,1,Beauty,17.58,8.48,9.1
264,2025-01-07,141,1,Home & Kitchen,127.82,56.22,71.6
265,2025-01-07,146,1,Beauty,53.79,34.59,19.2
266,2025-01-07,91,2,Home & Kitchen,276.26,112.3,163.96
267,2025-01-07,28,1,Beauty,17.99,10.34,7.65
268,2025-01-07,92,2,Electronics,1238.28,772.26,466.02
269,2025-01-07,6,1,Sports,104.23,64.2,40.03
270,2025-01-07,100,1,Electronics,253.6,142.04,111.56
271,2025-01-07,28,1,Beauty,17.99,10.34,7.65
272,2025-01-07,46,2,Beauty,88.74,39.1,49.64
273,2025-01-07,83,3,Apparel,90.36,54.03,36.33
274,2025-01-07,101,1,Apparel,89.99,47.95,42.04
275,2025-01-07,71,1,Sports,29.65,13.78,15.87
276,2025-01-07,142,1,Electronics,247.92,113.75,134.17
277,2025-01-07,99,1,Apparel,23.0,12.29,10.71
278,2025-01-07,3,3,Home & Kitchen,156.96,88.83,68.13
279,2025-01-07,137,1,Home & Kitchen,51.95,30.79,21.16
280,2025-01-07,115,3,Electronics,1838.13,1025.43,812.7
281,2025-01-07,73,3,Apparel,170.43,86.61,83.82
282,2025-01-07,6,1,Sports,104.23,64.2,40.03
283,2025-01-07,64,1,Sports,16.75,8.47,8.28
284,2025-01-07,65,2,Electronics,1515.32,925.9,589.42
285,2025-01-07,55,1,Apparel,25.9,10.77,15.13
286,2025-01-07,19,1,Apparel,72.65,45.18,27.47
287,2025-01-07,146,1,Beauty,53.79,34.59,19.2
288,2025-01-08,136,2,Sports,33.18,20.58,12.6
289,2025-01-08,18,2,Home & Kitchen,270.0,159.8,110.2
290,2025-01-08,99,1,Apparel,23.0,12.29,10.71
291,2025-01-08,58,1,Beauty,23.81,13.53,10.28
292,2025-01-08,135,1,Home & Kitchen,62.07,29.38,32.69
293,2025-01-08,67,2,Home & Kitchen,291.22,145.3,145.92
294,2025-01-08,22,1,Electronics,427.06,185.24,241.82
295,2025-01-08,57,1,Home & Kitchen,43.33,23.9,19.43
296,2025-01-08,150,2,Sports,252.86,162.74,90.12
297,2025-01-08,44,2,Home & Kitchen,205.0,99.68,105.32
298,2025-01-08,34,1,Sports,165.05,78.56,86.49
299,2025-01-08,138,2,Home & Kitchen,87.46,44.44,43.02
300,2025-01-08,114,1,Home & Kitchen,82.02,39.64,42.38
301,2025-01-08,150,1,Sports,126.43,81.37,45.06
302,2025-01-08,53,1,Home & Kitchen,45.49,26.22,19.27
303,2025-01-08,131,2,Sports,361.12,181.18,179.94
304,2025-01-08,56,1,Beauty,20.65,10.69,9.96
305,2025-01-08,5,1,Apparel,16.08,9.53,6.55
306,2025-01-08,61,1,Beauty,7.96,3.86,4.1
307,2025-01-08,110,1,Electronics,418.76,253.01,165.75
308,2025-01-08,51,1,Apparel,17.47,9.22,8.25
309,2025-01-08,38,1,Electronics,443.58,179.43,264.15
310,2025-01-08,38,1,Electronics,443.58,179.43,264.15
311,2025-01-08,79,1,Electronics,596.91,275.22,321.69
312,2025-01-08,109,1,Sports,86.15,38.6,47.55
313,2025-01-08,81,1,Home & Kitchen,22.54,10.91,11.63
314,2025-01-08,43,1,Beauty,5.12,2.91,2.21
315,2025-01-08,12,1,Sports,83.23,45.92,37.31
316,2025-01-08,118,1,Apparel,47.57,19.4,28.17
317,2025-01-08,19,2,Apparel,145.3,90.36,54.94
318,2025-01-08,9,1,Apparel,79.81,50.41,29.4
319,2025-01-08,66,3,Sports,112.77,71.79,40.98
320,2025-01-08,92,1,Electronics,619.14,386.13,233.01
321,2025-01-08,63,1,Electronics,538.56,242.66,295.9
322,2025-01-08,44,1,Home & Kitchen,102.5,49.84,52.66
323,2025-01-08,93,1,Apparel,42.54,19.27,23.27
324,2025-01-08,109,1,Sports,86.15,38.6,47.55
325,2025-01-08,20,2,Beauty,59.98,28.58,31.4
326,2025-01-08,109,1,Sports,86.15,38.6,47.55
327,2025-01-09,22,2,Electronics,854.12,370.48,483.64
328,2025-01-09,122,1,Home & Kitchen,139.07,84.24,54.83
329,2025-01-09,94,1,Beauty,42.41,25.94,16.47
330,2025-01-09,68,1,Sports,30.27,14.89,15.38
331,2025-01-09,21,1,Beauty,27.07,12.39,14.68
332,2025-01-09,88,1,Apparel,54.57,26.74,27.83
333,2025-01-09,92,1,Electronics,619.14,386.13,233.01
334,2025-01-09,79,1,Electronics,596.91,275.22,321.69
335,2025-01-09,142,3,Electronics,743.76,341.25,402.51
336,2025-01-09,70,1,Home & Kitchen,94.87,40.66,54.21
337,2025-01-09,7,1,Electronics,261.53,142.68,118.85
338,2025-01-09,91,1,Home & Kitchen,138.13,56.15,81.98
339,2025-01-09,135,1,Home & Kitchen,62.07,29.38,32.69
340,2025-01-09,107,1,Beauty,48.76,23.6,25.16
341,2025-01-09,35,1,Electronics,212.61,121.41,91.2
342,2025-01-09,70,2,Home & Kitchen,189.74,81.32,108.42
343,2025-01-09,9,1,Apparel,79.81,50.41,29.4
344,2025-01-09,119,3,Home & Kitchen,433.95,274.92,159.03
345,2025-01-09,9,1,Apparel,79.81,50.41,29.4
346,2025-01-09,68,1,Sports,30.27,14.89,15.38
347,2025-01-09,132,3,Sports,238.29,114.0,124.29
348,2025-01-09,68,1,Sports,30.27,14.89,15.38
349,2025-01-09,99,1,Apparel,23.0,12.29,10.71
350,2025-01-09,94,3,Beauty,127.23,77.82,49.41
351,2025-01-09,75,1,Electronics,687.32,431.97,255.35
352,2025-01-09,131,1,Sports,180.56,90.59,89.97
353,2025-01-09,121,1,Home & Kitchen,142.49,70.1,72.39
354,2025-01-09,80,2,Home & Kitchen,171.36,81.12,90.24
355,2025-01-09,149,1,Apparel,46.8,24.94,21.86
356,2025-01-10,22,1,Electronics,427.06,185.24,241.82
357,2025-01-10,4,1,Sports,166.63,73.93,92.7
358,2025-01-10,77,1,Beauty,5.17,2.18,2.99
359,2025-01-10,70,1,Home & Kitchen,94.87,40.66,54.21
360,2025-01-10,102,1,Beauty,37.1,17.91,19.19
361,2025-01-10,41,1,Apparel,77.17,44.22,32.95
362,2025-01-10,16,1,Apparel,85.29,45.28,40.01
363,2025-01-10,97,2,Apparel,99.88,53.54,46.34
364,2025-01-10,40,1,Sports,176.83,88.95,87.88
365,2025-01-10,71,2,Sports,59.3,27.56,31.74
366,2025-01-10,120,2,Apparel,127.72,51.2,76.52
367,2025-01-10,127,1,Sports,134.79,59.59,75.2
368,2025-01-10,138,1,Home & Kitchen,43.73,22.22,21.51
369,2025-01-10,78,1,Sports,66.3,32.27,34.03
370,2025-01-10,109,1,Sports,86.15,38.6,47.55
371,2025-01-10,110,1,Electronics,418.76,253.01,165.75
372,2025-01-10,39,1,Apparel,66.41,29.07,37.34
373,2025-01-10,61,1,Beauty,7.96,3.86,4.1
374,2025-01-10,26,2,Home & Kitchen,49.36,31.54,17.82
375,2025-01-10,46,1,Beauty,44.37,19.55,24.82
376,2025-01-10,9,2,Apparel,159.62,100.82,58.8
377,2025-01-10,40,2,Sports,353.66,177.9,175.76
378,2025-01-10,17,1,Home & Kitchen,94.05,58.74,35.31
379,2025-01-10,16,1,Apparel,85.29,45.28,40.01
380,2025-01-10,14,1,Beauty,46.66,23.31,23.35
381,2025-01-10,88,1,Apparel,54.57,26.74,27.83
382,2025-01-10,30,1,Beauty,52.15,23.16,28.99
383,2025-01-10,8,1,Apparel,39.51,19.84,19.67
384,2025-01-10,61,1,Beauty,7.96,3.86,4.1
385,2025-01-10,111,1,Sports,92.07,38.14,53.93
386,2025-01-10,138,1,Home & Kitchen,43.73,22.22,21.51
387,2025-01-11,6,1,Sports,104.23,64.2,40.03
388,2025-01-11,52,1,Electronics,603.93,345.43,258.5
389,2025-01-11,102,1,Beauty,37.1,17.91,19.19
390,2025-01-11,63,1,Electronics,538.56,242.66,295.9
391,2025-01-11,11,1,Home & Kitchen,47.38,19.96,27.42
392,2025-01-11,94,1,Beauty,42.41,25.94,16.47
393,2025-01-11,140,1,Apparel,61.96,39.39,22.57
394,2025-01-11,136,2,Sports,33.18,20.58,12.6
395,2025-01-11,142,1,Electronics,247.92,113.75,134.17
396,2025-01-11,106,1,Sports,69.03,37.72,31.31
397,2025-01-11,127,1,Sports,134.79,59.59,75.2
398,2025-01-11,32,1,Sports,110.52,58.66,51.86
399,2025-01-11,147,1,Electronics,297.88,135.92,161.96
400,2025-01-11,89,1,Home & Kitchen,135.52,85.06,50.46
401,2025-01-11,79,2,Electronics,1193.82,550.44,643.38
402,2025-01-11,41,1,Apparel,77.17,44.22,32.95
403,2025-01-11,99,3,Apparel,69.0,36.87,32.13
404,2025-01-11,9,1,Apparel,79.81,50.41,29.4
405,2025-01-11,83,1,Apparel,30.12,18.01,12.11
406,2025-01-11,130,1,Home & Kitchen,132.68,70.56,62.12
407,2025-01-11,40,1,Sports,176.83,88.95,87.88
408,2025-01-11,82,1,Apparel,69.76,40.64,29.12
409,2025-01-11,105,3,Apparel,96.12,45.78,50.34
410,2025-01-11,122,2,Home & Kitchen,278.14,168.48,109.66
411,2025-01-11,72,1,Home & Kitchen,119.14,70.44,48.7
412,2025-01-11,4,1,Sports,166.63,73.93,92.7
413,2025-01-11,93,1,Apparel,42.54,19.27,23.27
414,2025-01-11,67,1,Home & Kitchen,145.61,72.65,72.96
415,2025-01-11,48,1,Beauty,17.58,8.48,9.1
416,2025-01-11,63,2,Electronics,1077.12,485.32,591.8
417,2025-01-11,83,2,Apparel,60.24,36.02,24.22
418,2025-01-11,30,1,Beauty,52.15,23.16,28.99
419,2025-01-11,27,1,Home & Kitchen,35.09,21.49,13.6
420,2025-01-11,54,2,Sports,184.48,103.68,80.8
421,2025-01-11,94,1,Beauty,42.41,25.94,16.47
422,2025-01-11,37,1,Electronics,567.89,337.79,230.1
423,2025-01-11,135,1,Home & Kitchen,62.07,29.38,32.69
424,2025-01-11,72,3,Home & Kitchen,357.42,211.32,146.1
425,2025-01-11,10,1,Apparel,82.88,48.91,33.97
426,2025-01-11,72,1,Home & Kitchen,119.14,70.44,48.7
427,2025-01-12,58,2,Beauty,47.62,27.06,20.56
428,2025-01-12,2,2,Electronics,132.42,59.78,72.64
429,2025-01-12,71,1,Sports,29.65,13.78,15.87
430,2025-01-12,72,1,Home & Kitchen,119.14,70.44,48.7
431,2025-01-12,50,1,Beauty,32.59,13.33,19.26
432,2025-01-12,16,1,Apparel,85.29,45.28,40.01
433,2025-01-12,18,2,Home & Kitchen,270.0,159.8,110.2
434,2025-01-12,61,1,Beauty,7.96,3.86,4.1
435,2025-01-12,32,1,Sports,110.52,58.66,51.86
436,2025-01-12,74,1,Apparel,24.32,13.63,10.69
437,2025-01-12,114,1,Home & Kitchen,82.02,39.64,42.38
438,2025-01-12,33,1,Home & Kitchen,87.61,49.1,38.51
439,2025-01-12,140,2,Apparel,123.92,78.78,45.14
440,2025-01-12,124,1,Sports,36.53,19.43,17.1
441,2025-01-12,140,1,Apparel,61.96,39.39,22.57
442,2025-01-12,109,1,Sports,86.15,38.6,47.55
443,2025-01-12,34,1,Sports,165.05,78.56,86.49
444,2025-01-12,142,1,Electronics,247.92,113.75,134.17
445,2025-01-12,30,1,Beauty,52.15,23.16,28.99
446,2025-01-12,4,1,Sports,166.63,73.93,92.7
447,2025-01-12,38,1,Electronics,443.58,179.43,264.15
448,2025-01-12,150,1,Sports,126.43,81.37,45.06
449,2025-01-12,112,2,Home & Kitchen,186.82,84.9,101.92
450,2025-01-12,1,1,Home & Kitchen,121.9,69.48,52.42
451,2025-01-12,84,1,Electronics,237.56,139.11,98.45
452,2025-01-12,70,1,Home & Kitchen,94.87,40.66,54.21
